  Nomme tes fichiers : chart_q001_avant.png · chart_q001_apres.png · chart_q001_explication.png  —  source_info est révélé uniquement à la fin du test.,,,,
question_id,url_avant,url_apres,url_explication,source_info
q-001,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q001_avant_gpzrca.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q001_apres_b3ewzh.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q001_explication_ybukwv.png,AUDUSD M15 Oct 2025
q-002,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q002_avant_lfc8jy.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q002_apres_bga620.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q002_explication_hpdrmj.png,GBPUSD M5 Fev 2025
q-003,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q003_avant_uzq6fo.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q003_apres_tn8w88.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q003_explication_l0g2sb.png,NZDCHF M15 Jan 2025
q-004,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q004_avant_htjcgv.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q004_apres_cl1o7d.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q004_explication_ttj6lk.png,AUDCHF M15 Jan 2025
q-005,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q005_avant_jwsagk.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q005_apres_qvmckm.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q005_explication_f1f584.png,COMING SOON
q-006,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q006_avant_swu0xb.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q006_apres_a6hxjd.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q006_explication_mtmiqj.png,COMING SOON
q-007,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q007_avant_cgum7g.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q007_apres_b3yhof.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q007_explication_ftndlb.png,COMING SOON
q-008,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q008_avant_hupueu.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q008_apres_fdd0zu.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q008_explication_lswsta.png,COMING SOON
q-009,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q009_avant_ke04yr.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q009_apres_qdm6pq.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q009_explication_wvylw6.png,COMING SOON
q-010,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q010_avant_nrukhk.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q010_apres_x8n7fk.png,https://res.cloudinary.com/dh4cnlh03/image/upload/chart_q010_explication_gwhodd.png,COMING SOON
