question_id,texte,est_correcte
q-001,UP,False
q-001,DOWN,True
q-001,SIDEWAYS,False
q-002,UP,True
q-002,DOWN,False
q-002,SIDEWAYS,False
q-003,UP,False
q-003,DOWN,True
q-003,SIDEWAYS,False
q-004,UP,True
q-004,DOWN,False
q-004,SIDEWAYS,False
q-005,UP,False
q-005,DOWN,True
q-005,SIDEWAYS,False
q-006,UP,True
q-006,DOWN,False
q-006,SIDEWAYS,False
q-007,UP,True
q-007,DOWN,False
q-007,SIDEWAYS,False
q-008,UP,False
q-008,DOWN,True
q-008,SIDEWAYS,False
q-009,UP,True
q-009,DOWN,False
q-009,SIDEWAYS,False
q-010,UP,False
q-010,DOWN,True
q-010,SIDEWAYS,False
q-011,UP,True
q-011,DOWN,False
q-011,SIDEWAYS,False
q-012,UP,False
q-012,DOWN,True
q-012,SIDEWAYS,False
q-013,UP,True
q-013,DOWN,False
q-013,SIDEWAYS,False
q-014,UP,False
q-014,DOWN,True
q-014,SIDEWAYS,False
q-015,UP,True
q-015,DOWN,False
q-015,SIDEWAYS,False
q-016,UP,False
q-016,DOWN,True
q-016,SIDEWAYS,False
q-017,UP,True
q-017,DOWN,False
q-017,SIDEWAYS,False
q-018,UP,False
q-018,DOWN,True
q-018,SIDEWAYS,False
q-019,UP,True
q-019,DOWN,False
q-019,SIDEWAYS,False
q-020,UP,False
q-020,DOWN,True
q-020,SIDEWAYS,False
q-021,UP,True
q-021,DOWN,False
q-021,SIDEWAYS,False
q-022,UP,False
q-022,DOWN,True
q-022,SIDEWAYS,False
q-023,UP,True
q-023,DOWN,False
q-023,SIDEWAYS,False
q-024,UP,False
q-024,DOWN,True
q-024,SIDEWAYS,False
q-025,UP,True
q-025,DOWN,False
q-025,SIDEWAYS,False
q-026,UP,
q-026,DOWN,
q-026,SIDEWAYS,
